Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Supplier,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007679,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47438/47439,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A005664,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47440/47441,Unit ,Operational but needs repair,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007665,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47442/47443,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A004416,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47444/47445,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007670,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47446/47447,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A004432,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47448/47449,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007655,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47450/47451,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007677,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47452/47453,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007642,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47454/47455,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007720,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47456/47457,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Aircon ,Phil-Mar Trading,Non-inverter,1607-1607-12427,2.5 HP Split Type Non Inverter,68443,Unit ,Operational and in good condition,Asset is Owned by LGU," 57,760.00 ",1/5/2018,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Host PC Server/ Host Monitor,"Silicon Valley Computer Group Phil., Inc",Acer Veriton M200 B350,UXVQNSI027I0769834/MMLZ3SV001802014292447,"AMD Ryzen R7 PRO 1700x,3.44GHz,32GB DDR4 w/ 21.5"" LED monitor",BNHS-COM-2018-001,Unit,Operational and in good condition,DepED Central Office," 89,109.72 ",5/24/2018,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Host PC Server/ Host Monitor,"Silicon Valley Computer Group Phil., Inc",Acer Veriton M200 B351,UXVQNSI027I0769668/MMLZ3SV0018020141C2447,"AMD Ryzen R7 PRO 1700x,3.44GHz,32GB DDR4 w/ 21.5"" LED monitor",BNHS-COM-2018-002,Unit,Operational and in good condition,DepED Central Office," 89,109.72 ",5/24/2018,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Host PC Server/ Host Monitor,"Silicon Valley Computer Group Phil., Inc",Acer Veriton M200 B352,UXVQNSI027I0775295/MMLZ3SV001802013A72447,"AMD Ryzen R7 PRO 1700x,3.44GHz,32GB DDR4 w/ 21.5"" LED monitor",BNHS-COM-2018-003,Unit,Operational and in good condition,DepED Central Office," 89,109.72 ",5/24/2018,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Projector,"Silicon Valley Computer Group Phil., Inc",ACER X1223H,MRJPR11006805008408400,"AMD Ryzen R7 PRO 1700x,3.44GHz,32GB DDR4 w/ 21.5"" LED monitor",BNHS-COM-2018-004,Unit,Operational and in good condition,DepED Central Office," 17,013.78 ",5/24/2018,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Projector,"Silicon Valley Computer Group Phil., Inc",ACER X1223H,MRJPR11006805009AA8400,"AMD Ryzen R7 PRO 1700x,3.44GHz,32GB DDR4 w/ 21.5"" LED monitor",BNHS-COM-2018-005,Unit,Operational and in good condition,DepED Central Office," 17,013.78 ",5/24/2018,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Laptop,"Silicon Valley Computer Group Phil., Inc",Travelmate TMP249-G2-MG,NXVGPSP00280414E227600,"Intel Cor i5 2.5GHz, 8GB DDR4, 14"" display",BNHS-COM-2018-006,Unit,Operational and in good condition,DepED Central Office," 30,638.07 ",5/24/2018,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Laptop,"Silicon Valley Computer Group Phil., Inc",Travelmate TMP249-G2-MG,NXVGPSP0028041AB5E7600,"Intel Cor i5 2.5GHz, 8GB DDR4, 14"" display",BNHS-COM-2018-007,Unit,Operational and in good condition,DepED Central Office," 30,638.07 ",5/24/2018,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Charging/Storage Cart,"Columbia Technologies, Inc.",N/A,N/A,With master key and duplicates & operation manual,BNHS-COM-2018-008,Unit,Operational and in good condition,DepED Central Office," 27,950.00 ",11/8/2019,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Charging/Storage Cart,"Columbia Technologies, Inc.",N/A,N/A,With master key and duplicates & operation manual,BNHS-COM-2018-009,Unit,Operational and in good condition,DepED Central Office," 27,950.00 ",11/8/2019,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Laptop,"Columbia Technologies, Inc.",Travelmate P2410-G2-M,NXVGTSP0279370185B7200,"Intel Core i58250U 1.6GHz Processor, 8GB DDR4, 14.0"" display",BNHS-COM-2018-010,Unit,Operational and in good condition,DepED Central Office," 34,120.00 ",11/8/2019,3,Gemo D. Parajas,Barangka NHS,SHS Computer room,203,,Christine Ann Faraon,,,,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Aircon ,Phil-Mar Trading,Non-inverter,1607-1607-12492,2.5 HP Split Type Non Inverter,68444,Unit ,Operational and in good condition,Asset is Owned by LGU," 57,760.00 ",1/5/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Aircon ,Phil-Mar Trading,Non-inverter,34047020304713060170071,2.5 HP Split Type Non Inverter,68441,Unit ,Operational and in good condition,Asset is Owned by LGU," 57,760.00 ",1/5/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Television,XITRIX Computer Corporation, Full HD LED,155HV435-001407,55' LED Full HD LED,53753,Unit ,Operational but needs repair,Asset is Owned by LGU," 34,000.00 ",10/6/2015,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Microphone,MYUZIK MICKS LGC PRO,TC200 Kevler,201801371,Dual wireless mic,71296,PC,Operational and in good condition,Asset is Owned by LGU," 25,000.00 ",10/11/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Speaker,MYUZIK MICKS LGC PRO,Eon 15 Kevler,EON-15A02530,N/A,71291,unit,Operational and in good condition,Asset is Owned by LGU," 29,250.00 ",10/11/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Other Machinery and Equipment,1060599000,Speaker,MYUZIK MICKS LGC PRO,Eon 15 Kevler,EON-15A02743,N/A,71292,unit,Operational and in good condition,Asset is Owned by LGU," 29,250.00 ",10/12/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Information and Communication Technology Equipment,1060503000,Overhead Projector,Shabat Enterprises,Signify,26237343,LCD,61926,Unit,Operational and in good condition,Asset is Owned by LGU," 31,000.00 ",11/17/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Computer,Shabat Enterprises,N/A,ZZJ7H4TH700930R/HRVW84446,Computer/Monitor/Printer,61930/61931/61934,Unit,Operational and in good condition,Asset is Owned by LGU," 32, 850.00 ",3/9/2017,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Machinery and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Whole Body basic CPR ,69375,PC,Operational and in good condition,Asset is Owned by LGU," 105,000.00 ",8/17/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Infant CPR Training,69374,PC,Operational and in good condition,Asset is Owned by LGU," 88,000.00 ",8/17/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Adult model,69370,PC,Operational and in good condition,Asset is Owned by LGU," 34,500.00 ",8/30/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Adult model,69371,PC,Operational and in good condition,Asset is Owned by LGU," 34,500.00 ",8/30/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Adult model,69372,PC,Operational and in good condition,Asset is Owned by LGU," 34,500.00 ",8/30/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Adult model,69373,PC,Operational and in good condition,Asset is Owned by LGU," 34,500.00 ",8/30/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Pedia model (Child),69366,PC,Operational and in good condition,Asset is Owned by LGU," 34,000.00 ",8/17/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Pedia model (Child),69367,PC,Operational and in good condition,Asset is Owned by LGU," 34,000.00 ",8/17/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Pedia model (Child),69368,PC,Operational and in good condition,Asset is Owned by LGU," 34,000.00 ",8/17/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Pedia model (Child),69369,PC,Operational and in good condition,Asset is Owned by LGU," 34,000.00 ",8/17/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Baby model (New Born),69362,PC,Operational and in good condition,Asset is Owned by LGU," 20,300.00 ",8/22/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Baby model (New Born),69363,PC,Operational and in good condition,Asset is Owned by LGU," 20,300.00 ",8/22/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Baby model (New Born),69364,PC,Operational and in good condition,Asset is Owned by LGU," 20,300.00 ",8/22/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Mannequin,Shabat Enterprises,N/A,N/A,Baby model (New Born),69365,PC,Operational and in good condition,Asset is Owned by LGU," 20,300.00 ",8/22/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Other Property Plant and Equipment,Medical  Equipment,1060511000,Bed,N/A,N/A,N/A,Hospital Bed,BNHS-CGR-2018-001,PC,Operational and in good condition,Donated by Other Entity," 35,000.00 ",8/26/2018,3,Gemo D. Parajas,Barangka NHS,Caregiving room,102,,Alexander Estansilao,,,,
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Television,XITRIX Computer Corporation, Full HD LED,155HV435-00155B,55' LED Full HD LED,55189,Unit ,Operational and in good condition,Asset is Owned by LGU," 34,500.00 ",10/6/2015,3,Gemo D. Parajas,Barangka NHS,Science Laboratory room,205,,Sherneil Ben Lianza,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,NSTIC Stand Setup,"Atlantic Plastic and Metal Craft, Inc.",N/A,N/A,Cart-Rail System And Stand Set-up,BNHS-SCI-2017-001,Package,Operational and in good condition,DepED Central Office," 21,936.66 ",10/10/2017,3,Gemo D. Parajas,Barangka NHS,Science Laboratory room,205,,Sherneil Ben Lianza,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Tank Set,Eduresources Publishing Inc. JV Arihant Industries,N/A,N/A,Ripple Tank ,BNHS-SCI-2017-002,Set,Operational and in good condition,DepED Central Office," 17,652.65 ",11/28/2017,3,Gemo D. Parajas,Barangka NHS,Science Laboratory room,205,,Sherneil Ben Lianza,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Tank Set,Eduresources Publishing Inc. JV Arihant Industries,N/A,N/A,Ripple Tank ,BNHS-SCI-2017-003,Set,Operational and in good condition,DepED Central Office," 17,652.65 ",11/28/2017,3,Gemo D. Parajas,Barangka NHS,Science Laboratory room,205,,Sherneil Ben Lianza,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Tank Set,Eduresources Publishing Inc. JV Arihant Industries,N/A,N/A,Ripple Tank ,BNHS-SCI-2017-004,Set,Operational and in good condition,DepED Central Office," 17,652.65 ",11/28/2017,3,Gemo D. Parajas,Barangka NHS,Science Laboratory room,205,,Sherneil Ben Lianza,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Tank Set,Eduresources Publishing Inc. JV Arihant Industries,N/A,N/A,Ripple Tank ,BNHS-SCI-2017-005,Set,Operational and in good condition,DepED Central Office," 17,652.65 ",11/28/2017,3,Gemo D. Parajas,Barangka NHS,Science Laboratory room,205,,Sherneil Ben Lianza,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,NSTIC Cart-Rail System,Eduresources Publishing Inc. JV Arihant Industries,N/A,N/A,Cart-Rail System ,BNHS-SCI-2017-006,Package,Operational and in good condition,DepED Central Office," 31,216.80 ",5/18/2018,3,Gemo D. Parajas,Barangka NHS,Science Laboratory room,205,,Sherneil Ben Lianza,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
